"ISO3","Area","UN Region","EBRD Region","cpc_name1","Element","Unit","Year","value","Item","grouped"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,46329,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,35410,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,85850,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,59850,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,59444,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,64629,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,41815,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,62488,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,81222,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,89175,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,93345,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,85175,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,79417,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,76516,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,57406,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,43938,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,50201,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,48681,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,76616,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,25510,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,82266,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,81148,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,54105,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,56203,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,30206,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,36916,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,49655,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,39628,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,37813,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,23684,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2022,29721,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2023,37811,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,6472,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,6728,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,6015,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,7530,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,8297,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,9066,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,9812,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,10559,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,11307,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,12239,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,12954,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,13463,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,13791,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,13785,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,13360,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,13538,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,13753,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,14037,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,14275,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,14506,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,14728,NA,"yes"
"SOM","Somalia","Eastern Africa",NA,"Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,14728,NA,"yes"
