"ISO3","Area","UN Region","EBRD Region","cpc_name1","Element","Unit","Year","value","Item","grouped"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,8994,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,8828,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,7362,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,7490,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,7215,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,7031,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,2259,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,6918,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,5354,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,5771,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,5160,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,6274,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,5630,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,6093,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,5174,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,5883,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,4662,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,4653,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,3188,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,3141,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,1862,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,2856,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,2877,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,2696,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,3561,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,3749,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,3004,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,2863,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,3807,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,4349,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2022,5423,NA,"yes"
"FJI","Fiji","Melanesia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2023,3210,NA,"yes"
