"ISO3","Area","cpc_name1","Element","Unit","Year","value","Item","grouped"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2008,9187345,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2009,6254659,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2010,7470302,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2011,8834700,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2012,9805666,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2013,8599627,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2014,8214847,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2015,7462050,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2016,7224804,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2017,7106297,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2018,7232343,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2019,7240171,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2020,7101271,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2021,9641886,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2022,11891713,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (current thousand US$)","1000 USD",2023,13132013,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1992,546436,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1993,512137,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1994,527891,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1995,571077,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1996,577491,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1997,595191,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1998,582337,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1999,672110,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2000,739061,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2001,742413,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2002,676703,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2003,763896,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2004,698981,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2005,757653,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2006,710723,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2007,799860,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2008,769772,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2009,691556,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2010,715213,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2011,670868,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2012,833642,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2013,754948,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2014,774021,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2015,804659,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2016,847188,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2017,812719,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2018,848071,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2019,840662,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2020,919418,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2021,922340,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2022,885579,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2023,936013,NA,"yes"
"MEX","Mexico","Edible roots and tubers with high starch or inulin content","Gross Production Value (current thousand US$)","1000 USD",1992,400592,NA,"yes"
