FBS Group,Agg. Level 1,FBS Class,Agg. Level 2,Agg. Total
Tomatoes and products,Vegetables,Fruits and vegetables,Vegetal Products,Grand Total
"Vegetables, other",Vegetables,Fruits and vegetables,Vegetal Products,Grand Total
Wheat and products,Cereals - Excluding Beer,Cereals,Vegetal Products,Grand Total
Wine,Alcoholic Beverages,Beverages and other,Vegetal Products,Grand Total
Yams,Starchy Roots,Starchy roots,Vegetal Products,Grand Total
"Aquatic Animals, Others","Fish, Seafood",Fish and seafood,Animal Products,Grand Total
Aquatic Plants,"Aquatic Products, Other",Fish and seafood,Animal Products,Grand Total
Bovine Meat,Meat,Meat,Animal Products,Grand Total
"Butter, Ghee",Animal fats,Fats and oils,Animal Products,Grand Total
Cephalopods,"Fish, Seafood",Fish and seafood,Animal Products,Grand Total
Cream,Animal fats,Fats and oils,Animal Products,Grand Total
Crustaceans,"Fish, Seafood",Fish and seafood,Animal Products,Grand Total
Demersal Fish,"Fish, Seafood",Fish and seafood,Animal Products,Grand Total
Eggs,Eggs,Dairy and eggs (excl. butter),Animal Products,Grand Total
"Fats, Animals, Raw",Animal fats,Fats and oils,Animal Products,Grand Total
"Fish, Body Oil",Animal fats,Fats and oils,Animal Products,Grand Total
"Fish, Liver Oil",Animal fats,Fats and oils,Animal Products,Grand Total
Freshwater Fish,"Fish, Seafood",Fish and seafood,Animal Products,Grand Total
"Marine Fish, Other","Fish, Seafood",Fish and seafood,Animal Products,Grand Total
"Meat, Aquatic Mammals","Aquatic Products, Other",Fish and seafood,Animal Products,Grand Total
"Meat, Other",Meat,Meat,Animal Products,Grand Total
Milk - Excluding Butter,Milk - Excluding Butter,Dairy and eggs (excl. butter),Animal Products,Grand Total
"Molluscs, Other","Fish, Seafood",Fish and seafood,Animal Products,Grand Total
Mutton & Goat Meat,Meat,Meat,Animal Products,Grand Total
"Offals, Edible",Offals,Meat,Animal Products,Grand Total
Pelagic Fish,"Fish, Seafood",Fish and seafood,Animal Products,Grand Total
Pigmeat,Meat,Meat,Animal Products,Grand Total
Poultry Meat,Meat,Meat,Animal Products,Grand Total
