"iso3","capital","lon","lat"
"LVA","Riga",24.1048,56.9465
"MAC","",113.55,22.1667
"MAR","Rabat",-6.8704,33.9905
"MCO","Monaco",7.41891,43.7325
"MDA","Chisinau",28.8497,47.0167
"MDG","Antananarivo",45.7167,-20.4667
"MDV","Male",73.5109,4.1742
"MEX","Mexico City",-99.1276,19.427
"MHL","Majuro",171.135,7.11046
"MKD","Skopje",21.4361,42.0024
"MLI","Bamako",-7.50034,13.5667
"MLT","Valletta",14.5189,35.9042
"MMR","Naypyidaw",95.9562,21.914
"MNE","Podgorica",19.2595,42.4602
"MNG","Ulaanbaatar",106.937,47.9129
"MNP","Saipan",145.765,15.1935
"MOZ","Maputo",32.5713,-25.9664
"MRT","Nouakchott",-15.9824,18.2367
"MUS","Port Louis",57.4977,-20.1605
"MWI","Lilongwe",33.7703,-13.9899
"MYS","Kuala Lumpur",101.684,3.12433
"NAM","Windhoek",17.0931,-22.5648
"NCL","Noum'ea",166.464,-22.2677
"NER","Niamey",2.1073,13.514
"NGA","Abuja",7.48906,9.05804
"NIC","Managua",-86.2734,12.1475
"NLD","Amsterdam",4.89095,52.3738
"NOR","Oslo",10.7387,59.9138
"NPL","Kathmandu",85.3157,27.6939
"NRU","Yaren District",166.920867,-0.5477
"NZL","Wellington",174.776,-41.2865
"OMN","Muscat",58.5874,23.6105
"PAK","Islamabad",72.8,30.5167
"PAN","Panama City",-79.5188,8.99427
"PER","Lima",-77.0465,-12.0931
"PHL","Manila",121.035,14.5515
"PLW","Koror",134.479,7.34194
"PNG","Port Moresby",147.194,-9.47357
"POL","Warsaw",21.02,52.26
"PRI","San Juan",-66,18.23
"PRK","Pyongyang",125.754,39.0319
"PRT","Lisbon",-9.13552,38.7072
"PRY","Asuncion",-57.6362,-25.3005
"PYF","Papeete",-149.57,-17.535
"QAT","Doha",51.5082,25.2948
"ROU","Bucharest",26.0979,44.4479
"RUS","Moscow",37.6176,55.7558
"RWA","Kigali",30.0587,-1.95325
"SAU","Riyadh",46.6977,24.6748
"SDN","Khartoum",32.5363,15.5932
"SEN","Dakar",-17.4734,14.7247
"SGP","Singapore",103.85,1.28941
"SLB","Honiara",159.949,-9.42676
"SLE","Freetown",-13.2134,8.4821
"SLV","San Salvador",-89.2073,13.7034
"SMR","San Marino",12.4486,43.9322
"SOM","Mogadishu",45.3254,2.07515
"SRB","Belgrade",20.4656,44.8024
"SSD","Juba",31.6,4.85
"STP","Sao Tome",6.6071,0.20618
"SUR","Paramaribo",-55.1679,5.8232
"SVK","Bratislava",17.1073,48.1484
"SVN","Ljubljana",14.5044,46.0546
"SWE","Stockholm",18.0645,59.3327
"SWZ","Mbabane",31.4659,-26.5225
"SYC","Victoria",55.4466,-4.6309
