"UN Region","N countries"
"Australia and New Zealand",6
"Caribbean",28
"Central America",8
"Central Asia",5
"Eastern Africa",22
"Eastern Asia",7
"Eastern Europe",10
"Melanesia",5
"Micronesia",8
"Middle Africa",9
"Northern Africa",7
"Northern America",5
"Northern Europe",16
"Polynesia",10
"South America",16
"South-eastern Asia",11
"Southern Africa",5
"Southern Asia",9
"Southern Europe",16
"Western Africa",17
"Western Asia",18
"Western Europe",9
