"EBRD Region","N countries"
"Central Asia",6
"Central Europe and the Baltic States",9
"Eastern Europe and the Caucasus",5
"South-eastern Europe",7
"Southern and eastern Mediterranean",6
"Sub-Saharan Africa",6
"Türkiye",1
