"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",1992,18.51,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",1993,24.23,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",1994,28.34,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",1995,32.3,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",1996,40.2,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",1997,46.12,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",1998,49.6,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",1999,41.11000000000001,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2000,39.33,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2001,34.88,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2002,34.27,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2003,34.81999999999999,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2004,36.839999999999996,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2005,36.86,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2006,36.879999999999995,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2007,37.24,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2008,37.26,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2009,37.29,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2010,37.31,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2011,37.35,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2012,37.38,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2013,37.38,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2014,37.39,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2015,36.63,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2016,34.910000000000004,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2017,31.65,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2018,33.779999999999994,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2019,31.79,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2020,30,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2021,27.759999999999998,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2022,27.41,NA,"yes"
"COK","Cook Islands","Polynesia","Animal fats","Production","t",2023,26.06,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",1992,345,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",1993,330,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",1994,345,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",1995,332,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",1996,320,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",1997,320,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",1998,276,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",1999,228,NA,"yes"
"COK","Cook Islands","Polynesia","Edible roots and tubers with high starch or inulin content","Area harvested","ha",2000,192,NA,"yes"
