"ISO3","Area","Country Group","UN Region","EBRD Region","cpc_name1","Element","Unit","Year","value","Item","grouped"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2011,180.63,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2012,184.82999999999998,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2013,184.98,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2014,195.04999999999998,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2015,236.63,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2016,178.59,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2017,181.04000000000002,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2018,180.07,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2019,186.47,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2020,183.44,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2021,185.3,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2022,189.95,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Animal fats","Production","t",2023,192.88,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",1992,269,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",1993,157,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",1994,220,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",1995,320,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",1996,504,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",1997,507,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",1998,546,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",1999,572,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2000,1200,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2001,1199,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2002,1032,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2003,1510,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2004,1324,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2005,1619,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2006,1000,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2007,1400,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2008,1100,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2009,700,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2010,850,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2011,750,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2012,910,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2013,1091,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2014,1003,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2015,1558,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2016,1537,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2017,1400,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2018,1361,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2019,1148,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2020,1199,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Cereals","Area harvested","ha",2021,908,NA,"yes"
