"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"PER","Peru","South America","Animal fats","Production","t",1992,22681.07,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",1993,22334.760000000002,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",1994,21468.87,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",1995,22066.28,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",1996,22531.43,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",1997,23310.88,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",1998,22969.68,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",1999,25492.63,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2000,26475.73,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2001,27633.7,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2002,28062.61,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2003,28272.74,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2004,30209.02,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2005,31719.77,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2006,33286.98,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2007,34395.88,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2008,34672.990000000005,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2009,34422.74,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2010,33367.81,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2011,34114.94,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2012,35652.7,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2013,36811.36,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2014,38418.74,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2015,39634.07,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2016,40100.47,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2017,40864.270000000004,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2018,41763.27,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2019,43296.46,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2020,41910.81,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2021,43702.189999999995,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2022,44650.090000000004,NA,"yes"
"PER","Peru","South America","Animal fats","Production","t",2023,27213.23,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",1992,608643,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",1993,746619,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",1994,827184,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",1995,807244,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",1996,889045,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",1997,937700,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",1998,1034407,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",1999,1091819,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2000,1152375,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2001,1153068,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2002,1139801,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2003,1138721,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2004,1048887,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2005,1161342,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2006,1154279,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2007,1156981,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2008,1225663,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2009,1288564,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2010,1248959,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2011,1184352,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2012,1258753,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2013,1279906,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2014,1246988,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2015,1289293,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2016,1209121,NA,"yes"
"PER","Peru","South America","Cereals","Area harvested","ha",2017,1219184,NA,"yes"
