"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",1992,5503.4400000000005,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",1993,5887.589999999999,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",1994,6032.61,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",1995,6284.32,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",1996,6487.3099999999995,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",1997,6414.969999999999,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",1998,6840.4800000000005,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",1999,7238.4400000000005,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2000,7375.9800000000005,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2001,7597.51,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2002,7929.429999999999,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2003,7064.679999999999,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2004,7069.32,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2005,7251.65,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2006,7557.51,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2007,7740.18,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2008,7103.96,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2009,6838.76,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2010,7008.23,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2011,7080.54,NA,"yes"
"TUN","Tunisia","Northern Africa","Animal fats","Production","t",2012,6719.96,NA,"yes"
