"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"CHL","Chile","South America","Animal fats","Production","t",1992,24103.4,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",1993,24756.28,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",1994,25815.54,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",1995,28924.36,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",1996,29313.49,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",1997,30242.72,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",1998,31108.94,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",1999,30807.93,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2000,31637.68,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2001,32294.809999999998,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2002,34056.92,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2003,33613.74,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2004,30493.29,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2005,33419.6,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2006,38281.92,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2007,39336.36,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2008,41112.69,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2009,38306.59,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2010,38396.24,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2011,38104.87,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2012,41996,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2013,38264.8,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2014,38637.19,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2015,40631.7,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2016,37749.89,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2017,37893,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2018,38724.2,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2019,39794.23,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2020,42363.64,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2021,42631.63,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2022,38658.66,NA,"yes"
"CHL","Chile","South America","Animal fats","Production","t",2023,33318.64,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",1992,694330,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",1993,622470,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",1994,583380,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",1995,618407,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",1996,604456,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",1997,682719,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",1998,613235,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",1999,533827,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2000,593690,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2001,631247,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2002,652128,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2003,685127,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2004,706925,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2005,686445,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2006,594456,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2007,497056,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2008,565044,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2009,572191,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2010,526524,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2011,570215,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2012,556184,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2013,579184,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2014,567641,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2015,534984,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2016,564637,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2017,512101,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2018,512533,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2019,460545,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2020,442145,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2021,467709,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2022,423377,NA,"yes"
"CHL","Chile","South America","Cereals","Area harvested","ha",2023,391262,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",1992,2900504,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",1993,2643035,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",1994,2618939,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",1995,2765799,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",1996,2577562,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",1997,3077333,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",1998,3098078,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",1999,2167950,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2000,2589760,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2001,3115635,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2002,3380192,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2003,3692845,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2004,3999404,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2005,3989070,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2006,3565734,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2007,2855245,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2008,3302330,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2009,3125486,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2010,3588461.5999999996,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2011,3950348,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2012,3464791,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2013,4004023,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2014,3478752,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2015,3788921.4,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2016,3872402.5,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2017,3471759.6999999997,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2018,3661684.5,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2019,3296214.6,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2020,2761553.53,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2021,3035972.46,NA,"yes"
"CHL","Chile","South America","Cereals","Production","t",2022,2588504.7600000002,NA,"yes"
