"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",1992,0,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",1993,150534.41,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",1994,117269.06,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",1995,120222.6,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",1996,119817.15,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",1997,112060.97,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",1998,111579.45,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",1999,106077.32,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2000,94251.53,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2001,92369.34999999999,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2002,94894.5,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2003,94245.58,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2004,96764.78,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2005,87823.4,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2006,83615.09,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2007,84191.15,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2008,83410.42,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2009,79947.79000000001,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2010,76813.65,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2011,73765.28,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2012,67198.11,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2013,65919.88,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2014,85918.87,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2015,85884.08,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2016,85750.09,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2017,86319.45,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2018,49564.47,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2019,50026.11,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2020,51998.64,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2021,53631.46,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2022,54499.44,NA,"yes"
"CZE","Czechia","Eastern Europe","Animal fats","Production","t",2023,0,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",1992,0,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",1993,1613589,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",1994,1661548,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",1995,1583945,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",1996,1588882,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",1997,1693643,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",1998,1683785,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",1999,1596798,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",2000,1655815,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",2001,1631003,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",2002,1569116,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",2003,1466926,NA,"yes"
"CZE","Czechia","Eastern Europe","Cereals","Area harvested","ha",2004,1617273,NA,"yes"
