"ISO3","Area","Country Group","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1992,46800,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1993,62000,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1994,82900,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1995,70000,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1996,70400,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1997,66868,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1998,82634,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",1999,78570,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2000,96715,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2001,102930,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2002,114970,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2003,113240,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2004,117589,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2005,130805,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2006,131535,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2007,99365,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2008,80400,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2009,97010,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2010,100714,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2011,251200,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2012,267500,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2013,294200,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2014,382059,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2015,506758,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2016,527769,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2017,650161,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2018,689800,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2019,767506,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2020,934913,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2021,1044808,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Crustaceans","Q_tlw",2022,1043396,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",1992,0,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",1993,0,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",1994,0,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",1995,0,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",1996,0,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",1997,1429,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",1998,1740,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2003,2644,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2004,8000,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2005,17000,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2006,75000,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2007,42102,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2008,183570,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2009,127779,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2010,18693,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2011,52808,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2012,81164,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2013,86900,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2014,85000,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2015,84000,NA,NA,"yes"
"IND","India","Southern Asia","BRACKISHWATER","Fish","Q_tlw",2016,83500,NA,NA,"yes"
