"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1992,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1993,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1994,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",1995,100,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2001,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2002,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2003,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2004,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2005,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2006,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2007,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2008,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2009,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2010,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2011,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Amphibians, Reptiles","Q_no_1",2012,0,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Crustaceans","Q_tlw",1992,199,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Crustaceans","Q_tlw",1993,25,NA,NA,"yes"
"GIN","Guinea","Western Africa","Western Africa",NA,"CAPTURE","Crustaceans","Q_tlw",1995,97,NA,NA,"yes"
