"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",1998,998,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",1999,882,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2000,869,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2001,969,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2002,1194,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2003,1782,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2004,1525,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2005,1783,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2006,2257,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2007,2773,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2008,3466.8,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2009,2966,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2010,3627.974,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2011,4352.47,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2012,4473.299999999999,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2013,3559.55,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2014,3439.83,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2015,3771.6,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2016,3542.113,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2017,4113.95,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2018,5668.433000000001,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2019,3364.671,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2020,3427.408,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2021,7814.738,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Fish","Q_tlw",2022,4198.688,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",1992,33,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",1993,30,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",1994,35,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",1995,0,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",1996,35,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"BRACKISHWATER","Molluscs","Q_tlw",1997,26,NA,NA,"yes"
