"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2012,0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2013,0,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2014,10.34,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2015,43.839999999999996,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2016,39.732,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2017,52.315999999999995,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2018,58.038,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2019,49.182,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2020,18.409,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2021,140.64,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2022,25.160000000000004,"Crustaceans","Lobsters, spiny-rock lobsters","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1992,4,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1993,4,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1994,4,"Crustaceans","Miscellaneous marine crustaceans","no"
