"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1992,3034,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1993,4290,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1994,6189,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1995,7402,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1996,8130,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1997,9791,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1998,10066,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",1999,12376,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2000,16119,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2001,27233,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2002,25893,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2003,26384,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2004,31012,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2005,33526,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2006,35114,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2007,35259,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2008,51118,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2009,69292.3,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2010,87209.92,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2011,67491.5,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2012,55611.11,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2013,49970.615000000005,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2014,61432.6,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2015,52641.159999999996,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2016,43261.649,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2017,45879.06,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2018,45938.46,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2019,53647.376,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2020,48888.588,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2021,56739.72,NA,NA,"yes"
"MYS","Malaysia","South-eastern Asia","South-eastern Asia",NA,"BRACKISHWATER","Crustaceans","Q_tlw",2022,55244.78,NA,NA,"yes"
