"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"BHS","Canada","ODA Grants","Emergency Response",1992,0,0
"BHS","Canada","ODA Grants","Industry, Mining, Construction",1993,0,0
"BHS","Canada","ODA Grants","Industry, Mining, Construction",1994,0,0
"BHS","Canada","ODA Grants","Industry, Mining, Construction",1995,0,0
"BHS","EU Institutions","ODA Grants","Agriculture, Forestry, Fishing",1993,0,0
"BHS","EU Institutions","ODA Grants","Education",1993,0,0
"BHS","EU Institutions","ODA Grants","Transport & Storage",1993,0,0
"BHS","EU Institutions","ODA Grants","Unallocated / Unspecified",1993,0,0
"BHS","EU Institutions","ODA Grants","Unallocated / Unspecified",1995,3.256665,4.545077
"BHS","Inter-American Development Bank","Other Official Flows (non Export Credit)","Education",1995,0,0
"BHS","Inter-American Development Bank","Other Official Flows (non Export Credit)","Energy",1993,0,0
"BHS","Inter-American Development Bank","Other Official Flows (non Export Credit)","Other Multisector",1993,0,0
"BHS","Japan","ODA Grants","Emergency Response",1992,0.047356,0.039788
"BHS","Netherlands","ODA Grants","Unallocated / Unspecified",1992,0,0
"BHS","Netherlands","ODA Grants","Unallocated / Unspecified",1995,0,0
