"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"ISR","Austria","ODA Grants","Education",1996,0.585889,0.816571
"ISR","Austria","ODA Loans","Trade Policies & Regulations",1993,0,0
"ISR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1994,0,0
"ISR","Belgium","ODA Grants","Agriculture, Forestry, Fishing",1995,0,0
"ISR","Belgium","ODA Grants","Education",1994,0,0
"ISR","Belgium","ODA Grants","Education",1995,0,0
"ISR","Belgium","ODA Grants","Education",1996,0,0
"ISR","Belgium","ODA Grants","Government & Civil Society",1994,0,0
"ISR","Belgium","ODA Grants","Health",1994,0,0
"ISR","Belgium","ODA Grants","Health",1995,0,0
"ISR","Belgium","ODA Grants","Other Social Infrastructure & Services",1995,0,0
"ISR","Belgium","ODA Grants","Other Social Infrastructure & Services",1996,0,0
"ISR","Canada","ODA Grants","Agriculture, Forestry, Fishing",1993,0,0
"ISR","Canada","ODA Grants","General Environment Protection",1993,0,0
"ISR","Canada","ODA Grants","Other Multisector",1992,1.458351,2.557879
"ISR","Canada","ODA Grants","Other Multisector",1994,0.578373,1.115363
"ISR","Canada","ODA Grants","Other Multisector",1995,0.158106,0.299591
"ISR","Canada","ODA Grants","Water Supply & Sanitation",1994,0,0
"ISR","Denmark","ODA Grants","Health",1993,0,0
"ISR","EU Institutions","ODA Grants","Emergency Response",1995,0,0
"ISR","Finland","ODA Grants","General Environment Protection",1996,0.007404,0.010303
"ISR","Finland","ODA Grants","Other Multisector",1992,0,0
"ISR","Finland","ODA Grants","Other Multisector",1993,0.003671,0.006748
"ISR","Finland","ODA Grants","Other Multisector",1994,0.004021,0.006626
"ISR","Finland","ODA Grants","Other Multisector",1996,0,0
"ISR","Finland","ODA Grants","Other Social Infrastructure & Services",1996,0.005444,0.007576
"ISR","Finland","ODA Grants","Unallocated / Unspecified",1995,0,0
"ISR","France","ODA Grants","Education",1994,1.516723,2.138402
"ISR","France","ODA Grants","Education",1995,8.440426,10.575594
"ISR","France","ODA Grants","Education",1996,0.821882,1.041909
"ISR","France","ODA Grants","Emergency Response",1994,0.869941,1.226515
"ISR","France","ODA Grants","Emergency Response",1996,0.066867,0.084768
"ISR","France","ODA Grants","Other Multisector",1994,3.19879,4.509919
"ISR","France","ODA Grants","Other Multisector",1995,3.783718,4.740881
"ISR","France","ODA Grants","Other Multisector",1996,3.9144419999999998,4.962383
"ISR","France","ODA Grants","Other Social Infrastructure & Services",1994,3.272097,4.613273
"ISR","France","ODA Grants","Other Social Infrastructure & Services",1995,3.64142,4.5625860000000005
"ISR","France","ODA Grants","Other Social Infrastructure & Services",1996,4.168692,5.284699
"ISR","France","ODA Grants","Unallocated / Unspecified",1994,0.009366,0.013205
"ISR","France","ODA Grants","Unallocated / Unspecified",1995,0.239713,0.300353
"ISR","Germany","ODA Grants","Emergency Response",1996,0,0
"ISR","Germany","ODA Loans","Agriculture, Forestry, Fishing",1992,0,0
"ISR","Germany","ODA Loans","Agriculture, Forestry, Fishing",1993,0,0
"ISR","Germany","ODA Loans","Agriculture, Forestry, Fishing",1994,0,0
"ISR","Germany","ODA Loans","Agriculture, Forestry, Fishing",1995,0,0
"ISR","Germany","ODA Loans","Agriculture, Forestry, Fishing",1996,0,0
"ISR","Germany","ODA Loans","Banking & Financial Services",1992,0,0
"ISR","Germany","ODA Loans","Banking & Financial Services",1993,0,0
"ISR","Germany","ODA Loans","Banking & Financial Services",1994,0,0
"ISR","Germany","ODA Loans","Banking & Financial Services",1995,0,0
"ISR","Germany","ODA Loans","Banking & Financial Services",1996,0,0
"ISR","Germany","ODA Loans","Communications",1992,0,0
"ISR","Germany","ODA Loans","Communications",1993,0,0
"ISR","Germany","ODA Loans","Communications",1994,0,0
"ISR","Germany","ODA Loans","Communications",1995,0,0
"ISR","Germany","ODA Loans","Communications",1996,0,0
"ISR","Germany","ODA Loans","Education",1992,0,0
"ISR","Germany","ODA Loans","Education",1993,0,0
"ISR","Germany","ODA Loans","Education",1994,61.618091,87.772785
"ISR","Germany","ODA Loans","Education",1995,97.697139,120.675052
"ISR","Germany","ODA Loans","Education",1996,59.812587,77.21242
"ISR","Germany","ODA Loans","Energy",1992,0,0
"ISR","Germany","ODA Loans","Energy",1993,0,0
"ISR","Germany","ODA Loans","Energy",1994,0,0
"ISR","Germany","ODA Loans","Energy",1995,0,0
"ISR","Germany","ODA Loans","Energy",1996,0,0
"ISR","Germany","ODA Loans","Industry, Mining, Construction",1992,0,0
"ISR","Germany","ODA Loans","Industry, Mining, Construction",1993,0,0
"ISR","Germany","ODA Loans","Industry, Mining, Construction",1994,0,0
"ISR","Germany","ODA Loans","Industry, Mining, Construction",1995,0,0
"ISR","Germany","ODA Loans","Industry, Mining, Construction",1996,0,0
"ISR","Germany","ODA Loans","Other Social Infrastructure & Services",1992,0,0
"ISR","Germany","ODA Loans","Other Social Infrastructure & Services",1993,0,0
"ISR","Germany","ODA Loans","Other Social Infrastructure & Services",1994,0,0
"ISR","Germany","ODA Loans","Other Social Infrastructure & Services",1995,0,0
"ISR","Germany","ODA Loans","Other Social Infrastructure & Services",1996,0,0
"ISR","Germany","ODA Loans","Transport & Storage",1992,134.615877,195.288229
"ISR","Germany","ODA Loans","Transport & Storage",1993,108.873163,161.068596
"ISR","Germany","ODA Loans","Transport & Storage",1994,0,0
"ISR","Germany","ODA Loans","Transport & Storage",1995,0,0
"ISR","Germany","ODA Loans","Transport & Storage",1996,0,0
"ISR","Germany","ODA Loans","Unallocated / Unspecified",1992,0,0
"ISR","Germany","ODA Loans","Unallocated / Unspecified",1993,0,0
"ISR","Germany","ODA Loans","Unallocated / Unspecified",1994,0,0
"ISR","Germany","ODA Loans","Unallocated / Unspecified",1995,0,0
"ISR","Germany","ODA Loans","Unallocated / Unspecified",1996,0,0
"ISR","Germany","ODA Loans","Water Supply & Sanitation",1992,89.628681,130.024978
"ISR","Germany","ODA Loans","Water Supply & Sanitation",1993,0,0
"ISR","Germany","ODA Loans","Water Supply & Sanitation",1994,0,0
"ISR","Germany","ODA Loans","Water Supply & Sanitation",1995,0,0
"ISR","Germany","ODA Loans","Water Supply & Sanitation",1996,0,0
"ISR","Italy","ODA Grants","Education",1994,0,0
"ISR","Italy","ODA Grants","Education",1995,0,0
"ISR","Italy","ODA Grants","Education",1996,0,0
"ISR","Italy","ODA Grants","Other Multisector",1996,0,0
"ISR","Italy","ODA Grants","Unallocated / Unspecified",1994,0,0
"ISR","Japan","ODA Grants","Government & Civil Society",1993,0.06295,0.046217
"ISR","Japan","ODA Grants","Government & Civil Society",1994,0,0
"ISR","Japan","ODA Grants","Other Multisector",1995,0,0
"ISR","Japan","ODA Grants","Other Multisector",1996,0.670956,0.486122
"ISR","Netherlands","ODA Grants","Education",1992,0,0
"ISR","Netherlands","ODA Grants","Education",1995,0,0
"ISR","Netherlands","ODA Grants","Emergency Response",1992,0,0
"ISR","Netherlands","ODA Grants","Government & Civil Society",1995,0,0
"ISR","Netherlands","ODA Grants","Health",1995,0,0
"ISR","Netherlands","ODA Grants","Other Multisector",1992,0,0
"ISR","Netherlands","ODA Grants","Other Multisector",1993,0,0
"ISR","Netherlands","ODA Grants","Other Multisector",1995,0,0
"ISR","Netherlands","ODA Grants","Other Social Infrastructure & Services",1993,0,0
"ISR","Netherlands","ODA Grants","Unallocated / Unspecified",1992,0,0
"ISR","Netherlands","ODA Grants","Unallocated / Unspecified",1993,0,0
"ISR","Netherlands","ODA Grants","Unallocated / Unspecified",1995,0,0
"ISR","Netherlands","ODA Grants","Unallocated / Unspecified",1996,0,0
"ISR","Norway","ODA Grants","Emergency Response",1993,0,0
