"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"VGB","Canada","ODA Grants","Education",1998,0,0
"VGB","Canada","ODA Grants","Other Multisector",1992,0.04136,0.072543
"VGB","Canada","ODA Grants","Other Multisector",1994,0.025624,0.049415
"VGB","Canada","ODA Grants","Other Multisector",1999,0,0
"VGB","EU Institutions","ODA Grants","Education",1995,0,0
"VGB","EU Institutions","ODA Grants","Education",1997,0.009066,0.01412
"VGB","EU Institutions","ODA Grants","Education",1999,0.351625,0.566936
"VGB","EU Institutions","ODA Grants","Other Multisector",1994,0,0
"VGB","EU Institutions","ODA Grants","Other Social Infrastructure & Services",1994,0,0
"VGB","EU Institutions","ODA Grants","Other Social Infrastructure & Services",1996,0.031734,0.044759
"VGB","EU Institutions","ODA Grants","Transport & Storage",1999,0,0
"VGB","EU Institutions","ODA Grants","Unallocated / Unspecified",1995,0.006534,0.009119
"VGB","France","ODA Grants","Education",1995,0.146077,0.18303
"VGB","France","ODA Grants","Emergency Response",1995,0.093482,0.11713
"VGB","United Kingdom","Equity Investment","Business & Other Services",1999,0,0
"VGB","United Kingdom","ODA Grants","Banking & Financial Services",1992,0,0
"VGB","United Kingdom","ODA Grants","Banking & Financial Services",1996,0,0
"VGB","United Kingdom","ODA Grants","Emergency Response",1995,0,0
"VGB","United Kingdom","ODA Grants","Government & Civil Society",1992,0,0
"VGB","United Kingdom","ODA Grants","Government & Civil Society",1994,0,0
"VGB","United Kingdom","ODA Grants","Government & Civil Society",1995,0,0
"VGB","United Kingdom","ODA Grants","Government & Civil Society",1996,0,0
"VGB","United Kingdom","ODA Grants","Government & Civil Society",1998,0.540093,0.727481
"VGB","United Kingdom","ODA Grants","Government & Civil Society",1999,0.498302,0.677952
"VGB","United Kingdom","ODA Grants","Industry, Mining, Construction",1996,0,0
"VGB","United Kingdom","ODA Grants","Transport & Storage",1996,0,0
"VGB","United Kingdom","ODA Grants","Transport & Storage",1998,0.19715,0.265553
"VGB","United Kingdom","ODA Grants","Transport & Storage",1999,0.118104,0.160683
"VGB","United Kingdom","ODA Grants","Water Supply & Sanitation",1992,0,0
"VGB","United Kingdom","ODA Grants","Water Supply & Sanitation",1996,0,0
"VGB","United Kingdom","ODA Grants","Water Supply & Sanitation",1998,0.011597,0.015621
