"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"CYP","Austria","ODA Grants","Education",1996,0.433887,0.604721
"CYP","Austria","ODA Loans","Energy",1993,0,0
"CYP","Belgium","ODA Grants","Government & Civil Society",1995,0,0
"CYP","EU Institutions","ODA Grants","Education",1996,0,0
"CYP","EU Institutions","ODA Grants","Unallocated / Unspecified",1995,0,0
"CYP","France","ODA Grants","Education",1994,0.137045,0.193218
"CYP","France","ODA Grants","Education",1995,0.078018,0.097754
"CYP","France","ODA Grants","Education",1996,0.038191,0.048415
"CYP","France","ODA Grants","Emergency Response",1995,0.157137,0.196888
"CYP","France","ODA Grants","Emergency Response",1996,0.004435,0.005623
"CYP","France","ODA Grants","Other Multisector",1994,0.065739,0.092684
"CYP","France","ODA Grants","Other Multisector",1995,0.187978,0.23553000000000002
"CYP","France","ODA Grants","Other Multisector",1996,0.013252,0.016799
"CYP","France","ODA Grants","Other Social Infrastructure & Services",1994,1.966343,2.772314
"CYP","France","ODA Grants","Other Social Infrastructure & Services",1995,0.24324,0.304772
"CYP","France","ODA Grants","Other Social Infrastructure & Services",1996,3.1180820000000002,3.952829
"CYP","France","ODA Loans","Communications",1992,0,0
"CYP","France","ODA Loans","Communications",1993,0,0
"CYP","France","ODA Loans","Communications",1994,0,0
"CYP","France","ODA Loans","Communications",1995,0,0
"CYP","France","ODA Loans","Communications",1996,0,0
"CYP","France","ODA Loans","Government & Civil Society",1992,0,0
"CYP","France","ODA Loans","Government & Civil Society",1993,0,0
"CYP","France","ODA Loans","Government & Civil Society",1994,0,0
"CYP","France","ODA Loans","Government & Civil Society",1995,0,0
"CYP","France","ODA Loans","Government & Civil Society",1996,0,0
"CYP","France","ODA Loans","Industry, Mining, Construction",1992,0,0
"CYP","France","ODA Loans","Industry, Mining, Construction",1993,0,0
"CYP","France","ODA Loans","Industry, Mining, Construction",1994,0,0
"CYP","France","ODA Loans","Industry, Mining, Construction",1995,0,0
"CYP","France","ODA Loans","Industry, Mining, Construction",1996,0,0
"CYP","France","ODA Loans","Unallocated / Unspecified",1992,0,0
"CYP","France","ODA Loans","Unallocated / Unspecified",1993,0,0
"CYP","France","ODA Loans","Unallocated / Unspecified",1994,0,0
"CYP","France","ODA Loans","Unallocated / Unspecified",1995,0,0
"CYP","France","ODA Loans","Unallocated / Unspecified",1996,0,0
"CYP","Germany","ODA Loans","Agriculture, Forestry, Fishing",1992,0,0
"CYP","Germany","ODA Loans","Agriculture, Forestry, Fishing",1993,0,0
"CYP","Germany","ODA Loans","Agriculture, Forestry, Fishing",1994,0,0
"CYP","Germany","ODA Loans","Agriculture, Forestry, Fishing",1995,0,0
"CYP","Germany","ODA Loans","Agriculture, Forestry, Fishing",1996,0,0
"CYP","Germany","ODA Loans","Banking & Financial Services",1992,0,0
"CYP","Germany","ODA Loans","Banking & Financial Services",1993,0,0
"CYP","Germany","ODA Loans","Banking & Financial Services",1994,0,0
"CYP","Germany","ODA Loans","Banking & Financial Services",1995,0,0
"CYP","Germany","ODA Loans","Banking & Financial Services",1996,0,0
"CYP","Germany","ODA Loans","General Environment Protection",1992,0,0
"CYP","Germany","ODA Loans","General Environment Protection",1993,0,0
"CYP","Germany","ODA Loans","General Environment Protection",1994,0,0
"CYP","Germany","ODA Loans","General Environment Protection",1995,0,0
"CYP","Germany","ODA Loans","General Environment Protection",1996,0,0
"CYP","Germany","ODA Loans","Unallocated / Unspecified",1992,0,0
"CYP","Germany","ODA Loans","Unallocated / Unspecified",1993,0,0
"CYP","Germany","ODA Loans","Unallocated / Unspecified",1994,0,0
"CYP","Germany","ODA Loans","Unallocated / Unspecified",1995,0,0
"CYP","Germany","ODA Loans","Unallocated / Unspecified",1996,0,0
"CYP","Germany","ODA Loans","Water Supply & Sanitation",1992,0,0
"CYP","Germany","ODA Loans","Water Supply & Sanitation",1993,0,0
"CYP","Germany","ODA Loans","Water Supply & Sanitation",1994,0,0
"CYP","Germany","ODA Loans","Water Supply & Sanitation",1995,0,0
"CYP","Germany","ODA Loans","Water Supply & Sanitation",1996,0,0
"CYP","Italy","ODA Grants","Education",1994,0,0
"CYP","Italy","ODA Grants","Education",1995,0,0
"CYP","Italy","ODA Grants","Education",1996,0,0
"CYP","Italy","ODA Grants","Unallocated / Unspecified",1994,0,0
"CYP","United Kingdom","ODA Grants","Education",1993,0,0
"CYP","United Kingdom","ODA Grants","Education",1996,0,0
"CYP","United Kingdom","ODA Grants","Government & Civil Society",1992,0,0
"CYP","United States","ODA Grants","Business & Other Services",1994,0,0
"CYP","United States","ODA Grants","Education",1992,0,0
"CYP","United States","ODA Grants","Emergency Response",1992,0,0
"CYP","United States","ODA Grants","Emergency Response",1993,0,0
"CYP","United States","ODA Grants","Other Multisector",1996,0,0
"CYP","United States","ODA Grants","Other Social Infrastructure & Services",1994,0,0
