"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"BHR","Canada","ODA Grants","Unallocated / Unspecified",2002,0,0
"BHR","France","ODA Grants","Administrative Costs of Donors",2004,0.385141,0.452552
"BHR","France","ODA Grants","Agriculture, Forestry, Fishing",1998,0.030003,0.043085
"BHR","France","ODA Grants","Agriculture, Forestry, Fishing",1999,0.032485,0.048573
"BHR","France","ODA Grants","Agriculture, Forestry, Fishing",2000,0.001959,0.00334
"BHR","France","ODA Grants","Communications",1998,0.003729,0.005355
"BHR","France","ODA Grants","Communications",2000,0.011239,0.019159
"BHR","France","ODA Grants","Communications",2001,0.006269,0.010791
"BHR","France","ODA Grants","Communications",2002,0.003449,0.005528
"BHR","France","ODA Grants","Education",1994,0.189658,0.26739599999999997
"BHR","France","ODA Grants","Education",1996,0.056516000000000004,0.071646
"BHR","France","ODA Grants","Education",1997,0.045385999999999996,0.065075
"BHR","France","ODA Grants","Education",1998,0.07849400000000001,0.112721
"BHR","France","ODA Grants","Education",1999,0.072412,0.10827300000000001
"BHR","France","ODA Grants","Education",2000,0.088255,0.150442
"BHR","France","ODA Grants","Education",2001,0.094388,0.16247699999999998
"BHR","France","ODA Grants","Education",2002,0.149728,0.239966
"BHR","France","ODA Grants","Education",2003,0.238651,0.313407
"BHR","France","ODA Grants","Education",2004,0.30448,0.357773
"BHR","France","ODA Grants","Emergency Response",1995,0.019967,0.025018
"BHR","France","ODA Grants","Government & Civil Society",1998,0.003228,0.004635
"BHR","France","ODA Grants","Government & Civil Society",2000,0.00951,0.016211
"BHR","France","ODA Grants","Government & Civil Society",2001,0.011642,0.020041
"BHR","France","ODA Grants","Government & Civil Society",2002,0.011158,0.017883
"BHR","France","ODA Grants","Health",1998,0.021705,0.03117
"BHR","France","ODA Grants","Health",1999,0.020454,0.030584
"BHR","France","ODA Grants","Health",2000,0.016224,0.027656
"BHR","France","ODA Grants","Health",2001,0.051047,0.087873
"BHR","France","ODA Grants","Health",2002,0.036076,0.057818
"BHR","France","ODA Grants","Health",2003,0.018868,0.024778
"BHR","France","ODA Grants","Health",2004,0.015828,0.018598
"BHR","France","ODA Grants","Industry, Mining, Construction",2000,0.001959,0.00334
"BHR","France","ODA Grants","Other Multisector",1994,0.009726,0.013713
