"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"BRN","France","ODA Grants","Education",1994,0.052318,0.073762
"BRN","France","ODA Grants","Education",1995,0.030157,0.037786
"BRN","France","ODA Grants","Emergency Response",1995,0.062735,0.078606
"BRN","France","ODA Grants","Other Multisector",1994,0.001418,0.002
"BRN","France","ODA Grants","Other Social Infrastructure & Services",1994,0.065758,0.092711
"BRN","France","ODA Grants","Other Social Infrastructure & Services",1995,0.048803,0.06115
"BRN","Netherlands","ODA Grants","Government & Civil Society",1995,0,0
