"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"ABW","Belgium","ODA Grants","Unallocated / Unspecified",1999,0.013734,0.023071
"ABW","EU Institutions","ODA Grants","Education",1994,0,0
"ABW","EU Institutions","ODA Grants","Education",1996,0.010155,0.014323
"ABW","EU Institutions","ODA Grants","Education",1998,0.319875,0.496736
"ABW","EU Institutions","ODA Grants","Education",1999,0.261055,0.420907
"ABW","EU Institutions","ODA Grants","Health",1994,0,0
"ABW","EU Institutions","ODA Grants","Health",1995,0,0
"ABW","EU Institutions","ODA Grants","Health",1996,0.142169,0.200522
"ABW","EU Institutions","ODA Grants","Health",1997,0.67543,1.051918
"ABW","EU Institutions","ODA Grants","Health",1998,0.297506,0.461999
"ABW","EU Institutions","ODA Grants","Health",1999,0.036227999999999996,0.058412
"ABW","EU Institutions","ODA Grants","Other Social Infrastructure & Services",1994,0,0
"ABW","EU Institutions","ODA Grants","Tourism",1992,0,0
"ABW","EU Institutions","ODA Grants","Tourism",1993,0,0
"ABW","EU Institutions","ODA Grants","Tourism",1994,0,0
"ABW","EU Institutions","ODA Grants","Tourism",1995,0,0
"ABW","EU Institutions","ODA Grants","Tourism",1996,0.036811,0.051921
"ABW","EU Institutions","ODA Grants","Tourism",1997,0.031732,0.049419
"ABW","EU Institutions","ODA Grants","Tourism",1998,0.030198,0.046895
"ABW","EU Institutions","ODA Grants","Trade Policies & Regulations",1994,0,0
"ABW","EU Institutions","ODA Grants","Trade Policies & Regulations",1997,0.007933,0.012355
"ABW","EU Institutions","ODA Grants","Transport & Storage",1993,0,0
"ABW","EU Institutions","ODA Grants","Transport & Storage",1994,0,0
"ABW","EU Institutions","ODA Grants","Transport & Storage",1997,0.716228,1.115456
"ABW","EU Institutions","ODA Grants","Unallocated / Unspecified",1995,7.56273,10.554719
"ABW","EU Institutions","ODA Grants","Unallocated / Unspecified",1999,0,0
"ABW","Netherlands","ODA Grants","Unallocated / Unspecified",1998,17.953641,30.483617000000002
"ABW","UNDP","ODA Grants","Population Policies/Programmes",1999,0,0
