"de_recipientcode","donor_name","flow_name","sector_group","year","usd_disbursement","usd_disbursement_defl"
"CYM","EU Institutions","ODA Grants","Emergency Response",1995,0,0
"CYM","EU Institutions","ODA Grants","Unallocated / Unspecified",1995,0.122844,0.171444
"CYM","France","ODA Grants","Other Social Infrastructure & Services",1995,0.001811,0.00227
"CYM","Germany","ODA Loans","Industry, Mining, Construction",1992,0,0
"CYM","Germany","ODA Loans","Industry, Mining, Construction",1993,0,0
"CYM","Germany","ODA Loans","Industry, Mining, Construction",1994,0,0
"CYM","Germany","ODA Loans","Industry, Mining, Construction",1995,0,0
"CYM","Germany","ODA Loans","Industry, Mining, Construction",1996,0,0
"CYM","United Kingdom","ODA Grants","Emergency Response",1995,0,0
