"ISO3","year","pop","type","value"
"DOM",2016,10766998,"total per 1000 people",6.528003441627834
"ECU",2016,16624858,"micro per 1000 people",45.933384814474806
"ECU",2016,16624858,"sme per 1000 people",4.5862647368176015
"ECU",2016,16624858,"large per 1000 people",0.23236288694916973
"ECU",2016,16624858,"total per 1000 people",50.75201243824158
"EGY",2017,97553151,"micro per 1000 people",35.17722354247686
"EGY",2017,97553151,"sme per 1000 people",4.4047475206618385
"EGY",2017,97553151,"large per 1000 people",0.03116249930255969
"EGY",2017,97553151,"total per 1000 people",39.613133562441256
"SLV",2007,6083475,"micro per 1000 people",25.595897081848776
"SLV",2007,6083475,"sme per 1000 people",0.9415671141904914
"SLV",2007,6083475,"large per 1000 people",0.08120358840958498
"SLV",2007,6083475,"total per 1000 people",26.618667784448853
"EST",2017,1317384,"micro per 1000 people",50.91909420487876
"EST",2017,1317384,"sme per 1000 people",4.993229005362142
"EST",2017,1317384,"large per 1000 people",0.13739350105967585
"EST",2017,1317384,"total per 1000 people",56.049716711300576
"SZ",2017,1367254,"micro per 1000 people",9.022815073131985
"SZ",2017,1367254,"sme per 1000 people",1.0025350081257762
"SZ",2017,1367254,"large per 1000 people",NA
"SZ",2017,1367254,"total per 1000 people",10.025350081257761
"FJI",2014,885806,"micro per 1000 people",NA
"FJI",2014,885806,"sme per 1000 people",4.739186684217537
"FJI",2014,885806,"large per 1000 people",NA
"FJI",2014,885806,"total per 1000 people",4.739186684217537
"FIN",2016,5495303,"micro per 1000 people",37.94840794038108
"FIN",2016,5495303,"sme per 1000 people",2.136187940865135
"FIN",2016,5495303,"large per 1000 people",0.10718244289714325
"FIN",2016,5495303,"total per 1000 people",40.19177832414336
"FRA",2016,67118648,"micro per 1000 people",43.34302145061086
"FRA",2016,67118648,"sme per 1000 people",2.1588188129176857
"FRA",2016,67118648,"large per 1000 people",0.06256085492067719
"FRA",2016,67118648,"total per 1000 people",45.564401118449226
"GAB",2005,1930175,"micro per 1000 people",NA
"GAB",2005,1930175,"sme per 1000 people",2.072350952633829
"GAB",2005,1930175,"large per 1000 people",NA
"GAB",2005,1930175,"total per 1000 people",2.072350952633829
"DEU",2016,82695000,"micro per 1000 people",24.45298990265433
"DEU",2016,82695000,"sme per 1000 people",2.961122196021525
"DEU",2016,82695000,"large per 1000 people",0.1422335086764617
"DEU",2016,82695000,"total per 1000 people",27.556345607352316
"GHA",2015,27582821,"micro per 1000 people",39.29757583533606
"GHA",2015,27582821,"sme per 1000 people",41.37720358624667
"GHA",2015,27582821,"large per 1000 people",NA
"GHA",2015,27582821,"total per 1000 people",80.67477942158274
"GRC",2016,10760421,"micro per 1000 people",63.084520577772935
"GRC",2016,10760421,"sme per 1000 people",2.4639370522770436
"GRC",2016,10760421,"large per 1000 people",0.036058068731697396
"GRC",2016,10760421,"total per 1000 people",65.58451569878167
"GUM",2012,159973,"micro per 1000 people",11.739481037425065
"GUM",2012,159973,"sme per 1000 people",5.913497902771092
"GUM",2012,159973,"large per 1000 people",1.2502109731017108
"GUM",2012,159973,"total per 1000 people",18.90318991329787
"GTM",2015,16252429,"micro per 1000 people",20.350927236784113
"GTM",2015,16252429,"sme per 1000 people",2.4873205106756657
"GTM",2015,16252429,"large per 1000 people",0.09856988146202639
"GTM",2015,16252429,"total per 1000 people",22.936817628921805
"HTI",2010,9999617,"micro per 1000 people",37.31482915795675
"HTI",2010,9999617,"sme per 1000 people",1.0000383014669463
"HTI",2010,9999617,"large per 1000 people",0.023300892424179848
"HTI",2010,9999617,"total per 1000 people",38.33816835184788
"HND",2015,8960829,"micro per 1000 people",2.264187833514064
"HND",2015,8960829,"sme per 1000 people",14.17592055377912
"HND",2015,8960829,"large per 1000 people",0.22631834621551197
"HND",2015,8960829,"total per 1000 people",16.666426733508697
"HKG",2018,7391700,"micro per 1000 people",NA
"HKG",2018,7391700,"sme per 1000 people",45.52173383660051
"HKG",2018,7391700,"large per 1000 people",NA
"HKG",2018,7391700,"total per 1000 people",45.52173383660051
"HUN",2016,9781127,"micro per 1000 people",53.02548469107905
"HUN",2016,9781127,"sme per 1000 people",1.863895643109429
"HUN",2016,9781127,"large per 1000 people",0.09007142019523927
"HUN",2016,9781127,"total per 1000 people",54.97945175438372
"ISL",2017,343400,"micro per 1000 people",82.77227722772278
"ISL",2017,343400,"sme per 1000 people",5.209668025626092
"ISL",2017,343400,"large per 1000 people",0.5212580081537566
"ISL",2017,343400,"total per 1000 people",88.50320326150263
"IND",2015,1309053980,"micro per 1000 people",48.16608097398703
"IND",2015,1309053980,"sme per 1000 people",0.2566739073662952
"IND",2015,1309053980,"large per 1000 people",NA
"IND",2015,1309053980,"total per 1000 people",48.42275488135333
"IDN",2017,263991379,"micro per 1000 people",235.26109161314696
"IDN",2017,263991379,"sme per 1000 people",3.0899380240746424
"IDN",2017,263991379,"large per 1000 people",0.020682493574913294
"IDN",2017,263991379,"total per 1000 people",238.3717121307965
"IRN",2016,80277428,"micro per 1000 people",12.534083677917534
"IRN",2016,80277428,"sme per 1000 people",1.698098748255861
"IRN",2016,80277428,"large per 1000 people",0.4301831892272383
"IRN",2016,80277428,"total per 1000 people",14.662365615400633
"IRQ",2016,38274618,"micro per 1000 people",NA
"IRQ",2016,38274618,"sme per 1000 people",NA
"IRQ",2016,38274618,"large per 1000 people",0.015310407539534424
"IRQ",2016,38274618,"total per 1000 people",0.015310407539534424
"IRL",2016,4755335,"micro per 1000 people",47.369323086596424
"IRL",2016,4755335,"sme per 1000 people",NA
"IRL",2016,4755335,"large per 1000 people",NA
"IRL",2016,4755335,"total per 1000 people",47.369323086596424
"ISR",2016,8546000,"micro per 1000 people",55.67949918090335
"ISR",2016,8546000,"sme per 1000 people",10.022349637257197
"ISR",2016,8546000,"large per 1000 people",0.47133161713082145
"ISR",2016,8546000,"total per 1000 people",66.17318043529137
"ITA",2016,60551416,"micro per 1000 people",58.24040514593416
"ITA",2016,60551416,"sme per 1000 people",3.1346583207897236
"ITA",2016,60551416,"large per 1000 people",0.05365687897373036
"ITA",2016,60551416,"total per 1000 people",61.42872034569761
"JPN",2014,127276000,"micro per 1000 people",33.90828592979038
"JPN",2014,127276000,"sme per 1000 people",9.3692683616707
"JPN",2014,127276000,"large per 1000 people",0.09622395424117665
"JPN",2014,127276000,"total per 1000 people",43.373778245702255
"JOR",2016,9702353,"micro per 1000 people",17.18212066701758
"JOR",2016,9702353,"sme per 1000 people",2.305523206587103
"JOR",2016,9702353,"large per 1000 people",0.10100642596697935
"JOR",2016,9702353,"total per 1000 people",19.58865029957166
"KAZ",2016,18037646,"micro per 1000 people",50.672077720119354
"KAZ",2016,18037646,"sme per 1000 people",10.663697469170867
"KAZ",2016,18037646,"large per 1000 people",NA
"KAZ",2016,18037646,"total per 1000 people",61.33577518929022
"KEN",2016,49699862,"micro per 1000 people",28.9358751136975
"KEN",2016,49699862,"sme per 1000 people",2.4631456723159513
"KEN",2016,49699862,"large per 1000 people",NA
"KEN",2016,49699862,"total per 1000 people",31.399020786013452
"KOR",2015,51014947,"micro per 1000 people",NA
"KOR",2015,51014947,"sme per 1000 people",70.58484251684119
"KOR",2015,51014947,"large per 1000 people",NA
"KOR",2015,51014947,"total per 1000 people",70.58484251684119
"XKX",2013,1824100,"micro per 1000 people",23.976207444767283
"XKX",2013,1824100,"sme per 1000 people",1.2334850063044789
"XKX",2013,1824100,"large per 1000 people",0.02576613124280467
"XKX",2013,1824100,"total per 1000 people",25.235458582314568
"KWT",2004,2207939,"micro per 1000 people",1.222859870675775
"KWT",2004,2207939,"sme per 1000 people",10.971770506340981
"KWT",2004,2207939,"large per 1000 people",0.23777830818695625
"KWT",2004,2207939,"total per 1000 people",12.432408685203713
"KGZ",2016,6201500,"micro per 1000 people",128.04466661291622
"KGZ",2016,6201500,"sme per 1000 people",2.316858824477949
"KGZ",2016,6201500,"large per 1000 people",NA
"KGZ",2016,6201500,"total per 1000 people",130.36152543739416
"LVA",2016,1940740,"micro per 1000 people",54.8203262673001
"LVA",2016,1940740,"sme per 1000 people",4.5786658697197975
"LVA",2016,1940740,"large per 1000 people",0.1020229397034121
"LVA",2016,1940740,"total per 1000 people",59.50101507672331
"LSO",2016,2233339,"micro per 1000 people",3.2682006627744378
"LSO",2016,2233339,"sme per 1000 people",0.6425356831184159
"LSO",2016,2233339,"large per 1000 people",0.04925360637144652
"LSO",2016,2233339,"total per 1000 people",3.9599899522643
"LBY",2009,5964325,"micro per 1000 people",NA
"LBY",2009,5964325,"sme per 1000 people",NA
"LBY",2009,5964325,"large per 1000 people",0.014754393833334033
"LBY",2009,5964325,"total per 1000 people",0.014754393833334033
"LIE",2017,37922,"micro per 1000 people",109.54063604240282
"LIE",2017,37922,"sme per 1000 people",14.213385369969938
"LIE",2017,37922,"large per 1000 people",0.44828859237381996
"LIE",2017,37922,"total per 1000 people",124.20231000474658
"LTU",2016,2827721,"micro per 1000 people",63.135648814009585
"LTU",2016,2827721,"sme per 1000 people",4.838525441512794
"LTU",2016,2827721,"large per 1000 people",0.12200637898859187
"LTU",2016,2827721,"total per 1000 people",68.09618063451097
"LUX",2016,599449,"micro per 1000 people",46.79964434005228
"LUX",2016,599449,"sme per 1000 people",6.791236618961746
"LUX",2016,599449,"large per 1000 people",0.25523439024837813
"LUX",2016,599449,"total per 1000 people",53.846115349262405
"MDG",2005,18336724,"micro per 1000 people",11.102364849904488
"MDG",2005,18336724,"sme per 1000 people",0.4001259985153291
"MDG",2005,18336724,"large per 1000 people",0.02165054128534628
"MDG",2005,18336724,"total per 1000 people",11.524141389705163
"MYS",2015,30723155,"micro per 1000 people",22.578084835362773
"MYS",2015,30723155,"sme per 1000 people",6.945738482912969
"MYS",2015,30723155,"large per 1000 people",0.44132837268828673
"MYS",2015,30723155,"total per 1000 people",29.965151690964028
"MDV",2007,436330,"micro per 1000 people",25.597598148190592
"MDV",2007,436330,"sme per 1000 people",68.33130887172553
"MDV",2007,436330,"large per 1000 people",1.2971833245479338
"MDV",2007,436330,"total per 1000 people",95.22609034446405
"MLT",2016,465292,"micro per 1000 people",57.97004891551972
"MLT",2016,465292,"sme per 1000 people",4.32846470603406
"MLT",2016,465292,"large per 1000 people",0.12895128220558272
"MLT",2016,465292,"total per 1000 people",62.427464903759365
"MEX",2013,122535969,"micro per 1000 people",32.93647598281938
"MEX",2013,122535969,"sme per 1000 people",1.5266292952724763
"MEX",2013,122535969,"large per 1000 people",0.06345075705893344
"MEX",2013,122535969,"total per 1000 people",34.52655603515079
"MDA",2017,3549196,"micro per 1000 people",NA
"MDA",2017,3549196,"sme per 1000 people",15.102011835920022
"MDA",2017,3549196,"large per 1000 people",NA
"MDA",2017,3549196,"total per 1000 people",15.102011835920022
"MAR",2002,29512368,"micro per 1000 people",24.859475864491795
"MAR",2002,29512368,"sme per 1000 people",0.560442998000025
"MAR",2002,29512368,"large per 1000 people",0.024193246709311837
"MAR",2002,29512368,"total per 1000 people",25.444112109201132
"MOZ",2015,28010691,"micro per 1000 people",NA
"MOZ",2015,28010691,"sme per 1000 people",1.4876819711445177
"MOZ",2015,28010691,"large per 1000 people",0.0477674756399262
"MOZ",2015,28010691,"total per 1000 people",1.535449446784444
"NPL",2000,23740911,"micro per 1000 people",NA
"NPL",2000,23740911,"sme per 1000 people",1.8394829077957453
"NPL",2000,23740911,"large per 1000 people",NA
"NPL",2000,23740911,"total per 1000 people",1.8394829077957453
"NLD",2015,16939923,"micro per 1000 people",64.01410443246996
"NLD",2015,16939923,"sme per 1000 people",2.8732716199477415
"NLD",2015,16939923,"large per 1000 people",0.0952778829041903
"NLD",2015,16939923,"total per 1000 people",66.98265393532189
"NZL",2016,4793900,"micro per 1000 people",96.28986837439246
"NZL",2016,4793900,"sme per 1000 people",7.997663697615721
