"ISO3","year","pop","type","value"
"LCA",2011,173832,"total per 1000 people",34.83823461733167
"SDN",2005,30911914,"micro per 1000 people",NA
"SDN",2005,30911914,"sme per 1000 people",0.726580696361927
"SDN",2005,30911914,"large per 1000 people",0.053506877639475835
"SDN",2005,30911914,"total per 1000 people",0.7800875740014028
"SWE",2017,10067744,"micro per 1000 people",27.893835997419085
"SWE",2017,10067744,"sme per 1000 people",4.389861323450417
"SWE",2017,10067744,"large per 1000 people",0.2025279943550412
"SWE",2017,10067744,"total per 1000 people",32.486225315224544
"CHE",2015,8282396,"micro per 1000 people",11.566218277899294
"CHE",2015,8282396,"sme per 1000 people",5.533785151060153
"CHE",2015,8282396,"large per 1000 people",0.13836575792801986
"CHE",2015,8282396,"total per 1000 people",17.238369186887468
"TWN",2017,23545963,"micro per 1000 people",NA
"TWN",2017,23545963,"sme per 1000 people",NA
"TWN",2017,23545963,"large per 1000 people",1.435787527568951
"TWN",2017,23545963,"total per 1000 people",1.435787527568951
"TJK",2007,7111025,"micro per 1000 people",20.715297724308382
"TJK",2007,7111025,"sme per 1000 people",1.1227635959654199
"TJK",2007,7111025,"large per 1000 people",0.01645332423947321
"TJK",2007,7111025,"total per 1000 people",21.854514644513277
"TZA",2012,49082997,"micro per 1000 people",62.64360752054321
"TZA",2012,49082997,"sme per 1000 people",1.795937603402661
"TZA",2012,49082997,"large per 1000 people",NA
"TZA",2012,49082997,"total per 1000 people",64.43954512394588
"THA",2016,69037513,"micro per 1000 people",NA
"THA",2016,69037513,"sme per 1000 people",NA
"THA",2016,69037513,"large per 1000 people",0.13072603006426375
"THA",2016,69037513,"total per 1000 people",0.13072603006426375
"TLS",2004,996698,"micro per 1000 people",3.0181860503382167
"TLS",2004,996698,"sme per 1000 people",1.1339041515082804
"TLS",2004,996698,"large per 1000 people",0.01667506105159236
"TLS",2004,996698,"total per 1000 people",4.16876526289809
"TUN",2016,11532127,"micro per 1000 people",62.48968642124735
"TUN",2016,11532127,"sme per 1000 people",1.6128854633668186
"TUN",2016,11532127,"large per 1000 people",0.07067213186257834
"TUN",2016,11532127,"total per 1000 people",64.17324401647674
"TUR",2016,80745020,"micro per 1000 people",29.264900795120244
"TUR",2016,80745020,"sme per 1000 people",0.8535634767320635
"TUR",2016,80745020,"large per 1000 people",0.04778003646540679
"TUR",2016,80745020,"total per 1000 people",30.166244308317715
"UGA",2006,29550662,"micro per 1000 people",0.6521004504061533
"UGA",2006,29550662,"sme per 1000 people",0.1984050306554892
"UGA",2006,29550662,"large per 1000 people",0.011302623271180864
"UGA",2006,29550662,"total per 1000 people",0.8618081043328233
"UKR",2017,44831159,"micro per 1000 people",6.203319436822947
"UKR",2017,44831159,"sme per 1000 people",1.332889921494111
"UKR",2017,44831159,"large per 1000 people",0.008900059889149865
"UKR",2017,44831159,"total per 1000 people",7.545109418206208
"ARE",2008,6894278,"micro per 1000 people",8.191575680586132
"ARE",2008,6894278,"sme per 1000 people",2.640885673597728
"ARE",2008,6894278,"large per 1000 people",0.2938668849733069
"ARE",2008,6894278,"total per 1000 people",11.126328239157166
"GBR",2017,66022273,"micro per 1000 people",36.15052756514457
"GBR",2017,66022273,"sme per 1000 people",4.123532675101931
"GBR",2017,66022273,"large per 1000 people",0.14881341634511736
"GBR",2017,66022273,"total per 1000 people",40.42287365659162
"USA",2016,325719178,"micro per 1000 people",96.52621682595552
"USA",2016,325719178,"sme per 1000 people",3.408110651685361
"USA",2016,325719178,"large per 1000 people",0.06240958891281495
"USA",2016,325719178,"total per 1000 people",99.99673706655369
"URY",2016,3456750,"micro per 1000 people",42.38374195414768
"URY",2016,3456750,"sme per 1000 people",8.17559846676792
"URY",2016,3456750,"large per 1000 people",0.2412670861358212
"URY",2016,3456750,"total per 1000 people",50.800607507051424
"VEN",2008,28141701,"micro per 1000 people",11.472121034901194
"VEN",2008,28141701,"sme per 1000 people",6.565310320083353
"VEN",2008,28141701,"large per 1000 people",0.07707423229320787
"VEN",2008,28141701,"total per 1000 people",18.114505587277755
"VNM",2015,93571567,"micro per 1000 people",3.248176874071159
"VNM",2015,93571567,"sme per 1000 people",1.409306312033868
"VNM",2015,93571567,"large per 1000 people",0.0706090558470609
"VNM",2015,93571567,"total per 1000 people",4.728092241952088
"PSE",2012,4046901,"micro per 1000 people",28.968833188654727
"PSE",2012,4046901,"sme per 1000 people",3.482170678254793
"PSE",2012,4046901,"large per 1000 people",0.08994536807300203
"PSE",2012,4046901,"total per 1000 people",32.54094923498252
"YEM",2004,19612696,"micro per 1000 people",19.672284728218905
"YEM",2004,19612696,"sme per 1000 people",0.734649637153403
"YEM",2004,19612696,"large per 1000 people",NA
"YEM",2004,19612696,"total per 1000 people",20.406934365372308
"ZWE",2012,14710826,"micro per 1000 people",44.47228184195776
"ZWE",2012,14710826,"sme per 1000 people",8.671436940386624
"ZWE",2012,14710826,"large per 1000 people",NA
"ZWE",2012,14710826,"total per 1000 people",53.14371878234438
"ARG",2018,44271041,"micro per 1000 people",10.173716041599294
"ARG",2018,44271041,"sme per 1000 people",1.9319175259511066
"ARG",2018,44271041,"large per 1000 people",0.07998456598298648
"ARG",2018,44271041,"total per 1000 people",12.185618133533387
"BIH",2017,3507017,"micro per 1000 people",7.12942081546796
