"ISO3","index","rank","vulnerability","readiness"
"AFG",33.207456275516,181,0.586021466843507,0.250170592353827
"ALB",51.7571799900884,77,0.386331626490989,0.421475226292757
"DZA",48.6665011319576,92,0.364309961269751,0.337639983908903
"AND",NA,188,NA,0.397004791938974
"AGO",38.0795161577184,160,0.508868896218506,0.270459219372873
"ATG",49.0753984025133,90,0.468061498933154,0.44956946698342
"ARG",50.2061022069771,85,0.37170427567628,0.375826319815823
"ARM",56.9507577620642,50,0.36233841791301,0.501353573154294
"AUS",69.5474154632604,8,0.306045722913459,0.696994032178667
"AUT",68.9853999228889,10,0.29925314862663,0.678961147084408
"AZE",51.7503446533195,77,0.409341021701338,0.444347914767728
"BHS",48.4637453161925,97,0.45655858164319,0.42583348796704
"BHR",54.7700903687435,58,0.434530092242407,0.529931899617277
"BGD",36.0283786277348,173,0.554273336982695,0.274840909537391
"BRB",61.0602203697946,30,0.37214270086482,0.593347108260713
"BLR",57.0584842439868,47,0.325224751520954,0.466394436400689
"BEL",63.4522143001805,24,0.329288346737179,0.59833263274079
"BLZ",43.6756129142065,120,0.461605095009125,0.335117353293255
"BEN",38.3405184417986,159,0.571565444005584,0.338375812841557
"BTN",47.5644627682313,102,0.526791310319176,0.478080565683803
"BOL",41.6456083085503,134,0.447025346932714,0.279937513103719
"BIH",50.9754584318309,82,0.348856567746108,0.368365736382726
"BWA",50.0061593505728,86,0.43394114211453,0.434064329125986
"BRA",49.5237815073322,88,0.363484776560173,0.353960406706817
"BRN",56.5352977090286,51,0.404359133011454,0.535065087192025
"BGR",54.9875674883525,57,0.357972306313935,0.457723656080985
"BFA",37.9894586904992,162,0.523740607914716,0.283529781724699
"BDI",35.8995885941324,174,0.554177466702657,0.272169238585304
"KHM",40.3295834898391,149,0.482695538294298,0.28928720809108
"CMR",38.6711690279113,155,0.489079156523315,0.262502537081541
"CAN",68.4584473544698,13,0.281107566064065,0.650276513153462
"CPV",51.0736999801748,80,0.428217671962841,0.449691671566338
"CAF",27.8948032007839,186,0.577965536781531,0.135861600797209
"TCD",27.1553068161871,187,0.645534801071457,0.1886409373952
"CHL",60.1223990438853,34,0.334441537335005,0.536889518212711
"CHN",60.1825822630599,33,0.353354962935544,0.557006608196742
"COL",48.6904695569285,92,0.402855390799463,0.376664781938032
"COM",36.859800081433,167,0.545716468058945,0.282912469687606
"COG",35.8753657898711,174,0.517671818322959,0.23517913412038
"COD",32.5128011087756,184,0.561572812801563,0.211828834977075
"CRI",53.661705500101,64,0.380132590809637,0.453366700811657
"CIV",41.6495573851431,134,0.484994886341579,0.317986034044441
"HRV",55.4449467637838,55,0.380002051659578,0.488900986935253
"CUB",45.6085459859143,110,0.43759217880119,0.349763098519476
"CYP",58.0631949836649,42,0.358640336030512,0.51990423570381
"CZE",64.651308043735,20,0.263258597911043,0.556284758785743
"DNK",71.0953047206142,4,0.347889769863943,0.769795864276227
"DJI",41.1227566734789,142,0.501479579223468,0.323934712693046
"DMA",52.9778431456094,69,0.459867977763965,0.519424840676153
"DOM",46.7333636313101,106,0.432371849585567,0.367039122211769
"ECU",44.0762831128738,118,0.46491356685519,0.346439229112665
"EGY",47.5894206662017,102,0.396271315775455,0.348059729099489
"SLV",46.0818949003492,107,0.417081519534019,0.338719417541004
"GNQ",42.1893528348334,132,0.410853375185168,0.254640431881836
"ERI",30.6462464528392,185,0.601726814365628,0.214651743422412
"EST",64.5164233669762,21,0.330351948746667,0.62068041608619
"ETH",38.6948716459445,155,0.52195393670137,0.29585136962026
"FJI",50.8963409782399,83,0.457164846157994,0.475091665722792
"FIN",72.9382595862857,2,0.295047136533238,0.753812328258951
"FRA",67.7259781902156,14,0.299645098321069,0.654164662125382
"GAB",42.9820683004914,126,0.439292720561007,0.298934086570835
"GMB",39.815618373724,151,0.527134042992535,0.323446410467015
"GEO",58.7153017726772,41,0.3986373874698,0.572943422923344
"DEU",69.482489906852,8,0.299039964492309,0.688689762629349
"GHA",45.1804122705703,112,0.444353765877357,0.347962011288762
"GRC",59.5325799450569,38,0.339088120873175,0.529739719774314
"GRD",57.3745087666977,46,0.386923044425617,0.534413219759572
"GTM",43.6975640193155,120,0.435490467847333,0.309441748233642
"GIN",38.7591797159866,154,0.533749278329135,0.308932872648866
"GNB",32.8960354590742,182,0.616601177291994,0.274521886473478
"GUY",45.223702991737,112,0.436931416124494,0.341405475959235
"HTI",35.3433162814781,177,0.510109576699087,0.216975902328649
"HND",40.8113189161742,145,0.447338828115228,0.263565206438711
"HUN",57.0648487908271,47,0.351867906086787,0.493164881903329
"ISL",67.615587751063,16,0.348019655982525,0.700331411003784
"IND",47.0643411663074,105,0.453668324280259,0.394955147606408
"IDN",48.54543216591,97,0.425789388562653,0.396698031880854
"IRN",50.5634959482335,84,0.365093201113896,0.376363120078567
"IRQ",43.5843162838383,122,0.433033798170796,0.304720123847562
"IRL",64.4956207902955,21,0.314473677661033,0.604386093466944
"ISR",62.1323247860919,26,0.291532280707798,0.534178776429637
"ITA",59.5776599732333,36,0.340766047601228,0.532319247065895
"JAM",49.5129643783828,88,0.422050675958528,0.412309963526184
"JPN",66.5339671810725,18,0.359766530604699,0.69044587422615
"JOR",52.2765710898191,72,0.365788635296252,0.411320057092634
"KAZ",59.8827359428286,35,0.315643261780567,0.51329798063714
"KEN",40.8137717526099,145,0.493816065001224,0.310091500053422
"KIR",43.6206142155822,122,0.571661508663835,0.444073792975478
"PRK",44.071771774892,118,0.458862628462427,0.340298063960267
"KOR",68.8375078545123,11,0.352754310864441,0.729504467954686
"KWT",55.197775760394,56,0.364052707378894,0.468008222586774
"KGZ",53.514942852472,65,0.322528471573174,0.392827328622614
"LAO",42.2543344032624,131,0.488829867893761,0.33391655595901
"LVA",60.8317238350657,31,0.364250616119762,0.580885092821075
"LBN",44.7067280111838,116,0.401930778944703,0.296065339168379
"LSO",41.301288879025,138,0.481471821864484,0.307497599444983
"LBR",36.9018259187558,167,0.543338505438127,0.281375023813242
"LBY",43.0304743071163,126,0.422801312992873,0.283410799135199
"LIE",NA,189,NA,0.642966789976995
"LTU",61.6631560029608,28,0.360711399016385,0.593974519075601
"LUX",67.3450884406281,17,0.306604214328341,0.653505983140903
"MKD",54.5264010002424,59,0.378806798674504,0.469334818679351
"MDG",35.1935230970426,178,0.559078511836411,0.262948973777264
"MWI",36.9304513644785,167,0.550691728966183,0.289300756255753
"MYS",57.0719030949718,47,0.363886153681482,0.505324215580918
"MDV",44.3446605713328,117,0.563610031872178,0.450503243298835
"MLI",34.242134800253,180,0.59942050230141,0.284263198306471
"MLT",59.1689676249509,39,0.317754470705323,0.50113382320434
"MHL",41.5706166126377,134,0.586831714072055,0.418244046324809
"MRT",38.628868936958,157,0.586784160131229,0.359361538870389
"MUS",57.7709503441975,44,0.409591790100039,0.565010796983989
"MEX",49.6296296045913,87,0.368362152907256,0.360954744999082
"FSM",37.2103257577991,165,0.620661463952007,0.36486797910799
"MDA",52.1651073947452,74,0.393494037560555,0.436796185455459
"MCO",NA,190,NA,0.696839352149754
"MNG",55.9717750063921,54,0.340887330447093,0.460322830574936
"MNE",54.3347526916316,60,0.381056236992491,0.467751290825123
"MAR",53.375441508663,67,0.366395225051244,0.433904055224504
"MOZ",39.172992377748,153,0.478916146226519,0.262375993781479
"MMR",37.0799738667147,166,0.510450289782687,0.252049767116982
"NAM",46.0655777498373,107,0.459586635534332,0.380898190531078
"NRU",53.3210310074043,68,0.508014778619002,0.574435398767088
"NPL",43.2675468302649,124,0.493777221765448,0.359128158370745
"NLD",66.0351076522062,19,0.355319982991811,0.676022136035935
"NZL",68.7893737238817,11,0.320960284127014,0.696747758604648
"NIC",40.5913937850675,147,0.460754701463727,0.272582577165077
"NER",35.4803885644176,176,0.632226448539698,0.341834219828051
"NGA",39.4143857001307,152,0.462348399768584,0.250636113771198
"NOR",74.6782622936826,1,0.270063887035688,0.76362913290934
"OMN",53.9256328427169,61,0.422355290091797,0.500867946946134
"PAK",40.2681588810863,149,0.50139221013189506,0.306755387753621
"PLW",48.5745710352563,95,0.513724147467496,0.485215568172622
"PAN",47.8029925053581,101,0.422190997914738,0.3782508480219
"PNG",36.8849963421293,167,0.550689795404119,0.288389722246705
"PRY",48.3996362507429,99,0.390813793591446,0.358806518606304
"PER",49.111461947878,90,0.406445144404074,0.388674383361634
"PHL",44.8405689671952,115,0.443923752550941,0.340735131894845
"POL",61.5947894345944,29,0.302382475919339,0.534278264611227
"PRT",63.0171022169349,25,0.31901888290322,0.579360927241918
"QAT",59.6445134850436,36,0.352308510490266,0.545198780191138
"ROU",51.2588527573721,79,0.415264602572666,0.440441657720107
"RUS",58.8494849642904,40,0.322792630647673,0.499782329933481
"RWA",42.9810393512794,126,0.56782212902013,0.427442916045717
"KNA",NA,191,NA,0.562247037854576
"LCA",53.774801842574,63,0.379046849262174,0.454542886113654
"VCT",52.7524001465054,71,0.438542332814364,0.493590335744473
"WSM",45.785698166968,109,0.520711681350364,0.436425644689723
"SMR",NA,192,NA,0.645606503285476
"STP",41.455245173354,137,0.542074668892673,0.371179572359753
"SAU",57.5608283433596,45,0.410742474426166,0.561959041293357
"SEN",40.8594801736331,144,0.534035540594805,0.351225144067467
"SRB",51.1330236257625,80,0.421292113665036,0.443952586180286
"SYC",52.0780758547574,75,0.437459908891866,0.479021425987014
"SLE",35.0065932378839,179,0.597912325943661,0.298044190701338
"SGP",71.0853551261261,4,0.390010736048322,0.811717838570844
"SVK",57.8633921934517,43,0.347247584404272,0.504515428273305
"SVN",63.9207667787044,23,0.315115811442916,0.593531147017004
"SLB",38.148322785857,160,0.634118295618026,0.397084751335165
"SOM",37.4262208313531,164,0.60616625856397,0.354690675191032
