"ISO3","INFORM RISK","RISK CLASS","Rank","HAZARD & EXPOSURE","VULNERABILITY","LACK OF COPING CAPACITY"
"GNQ","3","Low","109","1.3","2.9","7.2"
"ERI","4.0999999999999996","Medium","65","2.1","4.0999999999999996","7.8"
"EST","1.6","Very Low","180","0.8","3.4","1.5"
"SWZ","3.3","Medium","96","1.6","4.3","5.0999999999999996"
"ETH","7.1","Very High","13","8","6.6","6.7"
"FJI","3.1","Low","103","2.8","3.7","2.8"
"FIN","1.6","Very Low","180","1.3","2.4","1.3"
"FRA","2.9","Low","115","3.9","3.1","2"
"GAB","3.4","Medium","92","1.8","3.5","6"
"GMB","3.7","Medium","79","1.6","5.7","5.4"
"GEO","3.5","Medium","89","2.7","4.9000000000000004","3.2"
"DEU","2.4","Low","144","2.2999999999999998","3.9","1.6"
"GHA","4","Medium","71","3.3","4.0999999999999996","4.7"
"GRC","2.7","Low","126","2.8","2.9","2.2999999999999998"
"GRD","2.5","Low","136","1.4","2.9","3.9"
"GTM","4.9000000000000004","Medium","42","3.6","6.2","5.4"
"GIN","4.2","Medium","61","2.2999999999999998","4.5999999999999996","6.9"
"GNB","3.7","Medium","79","1.3","5.2","7.7"
"GUY","3.5","Medium","89","2.4","3.9","4.7"
"HTI","7.2","Very High","11","7.7","6.7","7.2"
"HND","5.6","High","28","6","5.5","5.3"
"HUN","2","Very Low","164","1.6","2.2999999999999998","2.1"
"ISL","1.7","Very Low","177","1.4","1.8","2"
"IND","5.4","High","35","8.6","4.5","4"
"IDN","4.8","Medium","45","7.5","3.4","4.3"
"IRN","5.4","High","35","7.3","4.8","4.5"
"IRQ","6.4","High","20","8","5.2","6.4"
"IRL","1.7","Very Low","177","1.2","2.7","1.5"
"ISR","3.4","Medium","92","6.6","3.1","1.9"
"ITA","2.5","Low","136","2.9","2.7","2.1"
"JAM","2.9","Low","115","2.9","2.2999999999999998","3.5"
"JPN","2.2999999999999998","Low","152","5.5","1.6","1.4"
"JOR","3.7","Medium","79","1.9","6.1","4.3"
"KAZ","2.5","Low","136","2.2000000000000002","2.1","3.5"
"KEN","6.2","High","22","6.7","6.1","5.7"
"KIR","3.6","Medium","86","2.5","3.9","4.7"
"PRK","4.0999999999999996","Medium","65","2.7","3.9","6.6"
"KOR","2","Very Low","164","3.6","1.4","1.5"
"KWT","2.4","Low","144","1.4","2.8","3.4"
"KGZ","3.2","Medium","99","2.4","3.3","4.3"
"LAO","3.4","Medium","92","2.1","3.4","5.6"
"LVA","2.4","Low","144","1.3","4.2","2.5"
"LBN","5.5","High","32","5.0999999999999996","7.1","4.7"
"LSO","3.7","Medium","79","1.2","6","6.9"
"LBR","4.5999999999999996","Medium","48","2.2000000000000002","5.9","7.7"
"LBY","4.3","Medium","56","2.4","4.9000000000000004","6.6"
"LIE","1","Very Low","190","0.8","0.9","1.4"
"LTU","1.9","Very Low","169","1.2","2.8","2.2000000000000002"
"LUX","1.1000000000000001","Very Low","189","0.5","2.1","1.3"
"MDG","5.0999999999999996","High","39","3.4","5.5","7.1"
"MWI","4.3","Medium","56","2.1","6.2","6.2"
